network_id,name,created_at,chain_number,chain_rpc,primary_dex,explorer_api_key,tx_base_url,symbol,max_gas,min_gas
1,ethereum,2022-09-25 15:44:12,,,,,,,,
2,bsc,2022-09-25 15:44:12,,,,,,,,
3,polygon,2022-09-25 15:44:12,,,,,,,,
4,avalanche,2022-09-25 15:44:12,,,,,,,,
5,fantom,2022-09-25 15:44:12,,,,,,,,
6,harmony,2022-09-25 15:44:12,,,,,,,,
7,cronos,2022-09-25 15:44:12,,,,,,,,
8,osmosis,2022-09-25 15:44:12,,,,,,,,
9,aurora,2022-09-25 15:44:12,,,,,,,,
10,moonriver,2022-09-25 15:44:12,,,,,,,,
11,moonbeam,2022-09-25 15:44:12,,,,,,,,
12,metis,2022-09-25 15:44:12,,,,,,,,
13,arbitrum,2022-09-25 15:44:12,,,,,,,,
14,optimism,2022-09-25 15:44:12,,,,,,,,
15,dogechain,2022-09-25 15:44:12,,,,,,,,
16,heco,2022-09-25 15:44:12,,,,,,,,
17,oasisemerald,2022-09-25 15:44:12,,,,,,,,
18,astar,2022-09-25 15:44:12,,,,,,,,
19,evmos,2022-09-25 15:44:12,,,,,,,,
20,milkomeda,2022-09-25 15:44:12,,,,,,,,
21,avalanchedfk,2022-09-25 15:44:12,,,,,,,,
22,xdai,2022-09-25 15:44:12,,,,,,,,
23,velas,2022-09-25 15:44:12,,,,,,,,
24,kcc,2022-09-25 15:44:12,,,,,,,,
25,oec,2022-09-25 15:44:12,,,,,,,,
26,celo,2022-09-25 15:44:12,,,,,,,,
27,sifchain,2022-09-25 15:44:12,,,,,,,,
28,tombchain,2022-09-25 15:44:12,,,,,,,,
29,smartbch,2022-09-25 15:44:12,,,,,,,,
30,arbitrumnova,2022-09-25 15:44:12,,,,,,,,
31,ethereumclassic,2022-09-25 15:44:12,,,,,,,,
32,ethereumpow,2022-09-25 15:44:12,,,,,,,,
33,ethereumfair,2022-09-25 15:44:12,,,,,,,,
34,canto,2022-09-25 15:44:12,,,,,,,,
35,redlightchain,2022-09-25 15:44:12,,,,,,,,
36,godwoken,2022-09-25 15:44:12,,,,,,,,
37,hsc,2022-09-25 15:44:12,,,,,,,,
38,fuse,2022-09-25 15:44:12,,,,,,,,
39,telos,2022-09-25 15:44:12,,,,,,,,
40,kardiachain,2022-09-25 15:44:12,,,,,,,,
41,iotex,2022-09-25 15:44:12,,,,,,,,
42,wanchain,2022-09-25 15:44:12,,,,,,,,
43,conflux,2022-09-25 15:44:12,,,,,,,,
44,cube,2022-09-25 15:44:12,,,,,,,,
45,boba,2022-09-25 15:44:12,,,,,,,,
46,meter,2022-09-25 15:44:12,,,,,,,,
47,elastos,2022-09-25 15:44:12,,,,,,,,
48,syscoin,2022-09-25 15:44:12,,,,,,,,
49,kava,2022-09-25 15:44:12,,,,,,,,
50,shibchain,2022-09-25 15:44:12,,,,,,,,
51,thundercore,2022-09-25 15:44:12,,,,,,,,
52,novanetwork,2022-09-25 15:44:12,,,,,,,,
53,echelon,2022-09-25 15:44:12,,,,,,,,
54,kekchain,2022-09-27 12:01:12,,,,,,,,
